d, k0, k1, nlabel,alpha,beta, ntrace, nchain, nskip, Ntrain, Ntest, Nfold
100,2,5,10,1,1,500,4,2,400,100,5
100,2,5,12,1,1,500,4,2,400,100,5
100,2,5,14,1,1,500,4,2,400,100,5
100,2,5,16,1,1,500,4,2,400,100,5
100,2,5,18,1,1,500,4,2,400,100,5
100,2,5,20,1,1,500,4,2,400,100,5
100,2,5,22,1,1,500,4,2,400,100,5
100,2,5,24,1,1,500,4,2,400,100,5
100,2,5,26,1,1,500,4,2,400,100,5
100,2,5,28,1,1,500,4,2,400,100,5
100,2,5,30,1,1,500,4,2,400,100,5
100,2,5,32,1,1,500,4,2,400,100,5
100,2,5,34,1,1,500,4,2,400,100,5
100,2,5,36,1,1,500,4,2,400,100,5
100,2,5,38,1,1,500,4,2,400,100,5
100,2,5,40,1,1,500,4,2,400,100,5
100,2,5,42,1,1,500,4,2,400,100,5
100,2,5,44,1,1,500,4,2,400,100,5
100,2,5,46,1,1,500,4,2,400,100,5
100,2,5,48,1,1,500,4,2,400,100,5
100,5,5,2,1,1,500,4,2,400,100,5
100,5,5,3,1,1,500,4,2,400,100,5
100,5,5,4,1,1,500,4,2,400,100,5
100,5,5,5,1,1,500,4,2,400,100,5
100,5,5,6,1,1,500,4,2,400,100,5
100,5,5,7,1,1,500,4,2,400,100,5
100,5,5,8,1,1,500,4,2,400,100,5
100,5,5,9,1,1,500,4,2,400,100,5
100,5,5,10,1,1,500,4,2,400,100,5
100,5,5,11,1,1,500,4,2,400,100,5
100,5,5,12,1,1,500,4,2,400,100,5
100,5,5,13,1,1,500,4,2,400,100,5
100,5,5,14,1,1,500,4,2,400,100,5
100,5,5,15,1,1,500,4,2,400,100,5
100,5,5,16,1,1,500,4,2,400,100,5
100,5,5,17,1,1,500,4,2,400,100,5
100,5,5,18,1,1,500,4,2,400,100,5
100,5,5,19,1,1,500,4,2,400,100,5
100,10,5,2,1,1,500,4,2,400,100,5
100,10,5,3,1,1,500,4,2,400,100,5
100,10,5,4,1,1,500,4,2,400,100,5
100,10,5,5,1,1,500,4,2,400,100,5
100,10,5,6,1,1,500,4,2,400,100,5
100,10,5,7,1,1,500,4,2,400,100,5
100,10,5,8,1,1,500,4,2,400,100,5
100,10,5,9,1,1,500,4,2,400,100,5
100,10,5,10,1,1,500,4,2,400,100,5
100,2,10,2,1,1,500,4,2,400,100,5
100,2,10,4,1,1,500,4,2,400,100,5
100,2,10,6,1,1,500,4,2,400,100,5
100,2,10,8,1,1,500,4,2,400,100,5
100,2,10,10,1,1,500,4,2,400,100,5
100,2,10,12,1,1,500,4,2,400,100,5
100,2,10,14,1,1,500,4,2,400,100,5
100,2,10,16,1,1,500,4,2,400,100,5
100,2,10,18,1,1,500,4,2,400,100,5
100,2,10,20,1,1,500,4,2,400,100,5
100,2,10,22,1,1,500,4,2,400,100,5
100,2,10,24,1,1,500,4,2,400,100,5
100,2,10,26,1,1,500,4,2,400,100,5
100,2,10,28,1,1,500,4,2,400,100,5
100,2,10,30,1,1,500,4,2,400,100,5
100,2,10,32,1,1,500,4,2,400,100,5
100,2,10,34,1,1,500,4,2,400,100,5
100,2,10,36,1,1,500,4,2,400,100,5
100,2,10,38,1,1,500,4,2,400,100,5
100,2,10,40,1,1,500,4,2,400,100,5
100,2,10,42,1,1,500,4,2,400,100,5
100,2,10,44,1,1,500,4,2,400,100,5
100,2,10,46,1,1,500,4,2,400,100,5
100,2,10,48,1,1,500,4,2,400,100,5
100,5,10,2,1,1,500,4,2,400,100,5
100,5,10,3,1,1,500,4,2,400,100,5
100,5,10,4,1,1,500,4,2,400,100,5
100,5,10,5,1,1,500,4,2,400,100,5
100,5,10,6,1,1,500,4,2,400,100,5
100,5,10,7,1,1,500,4,2,400,100,5
100,5,10,8,1,1,500,4,2,400,100,5
100,5,10,9,1,1,500,4,2,400,100,5
100,5,10,10,1,1,500,4,2,400,100,5
100,5,10,11,1,1,500,4,2,400,100,5
100,5,10,12,1,1,500,4,2,400,100,5
100,5,10,13,1,1,500,4,2,400,100,5
100,5,10,14,1,1,500,4,2,400,100,5
100,5,10,15,1,1,500,4,2,400,100,5
100,5,10,16,1,1,500,4,2,400,100,5
100,5,10,17,1,1,500,4,2,400,100,5
100,5,10,18,1,1,500,4,2,400,100,5
100,5,10,19,1,1,500,4,2,400,100,5
100,10,10,2,1,1,500,4,2,400,100,5
100,10,10,3,1,1,500,4,2,400,100,5
100,10,10,4,1,1,500,4,2,400,100,5
100,10,10,5,1,1,500,4,2,400,100,5
100,10,10,6,1,1,500,4,2,400,100,5
100,10,10,7,1,1,500,4,2,400,100,5
100,10,10,8,1,1,500,4,2,400,100,5
100,10,10,9,1,1,500,4,2,400,100,5
100,10,10,10,1,1,500,4,2,400,100,5
100,2,2,2,1,1,500,4,2,400,100,5
100,2,2,4,1,1,500,4,2,400,100,5
100,2,2,6,1,1,500,4,2,400,100,5
100,2,2,8,1,1,500,4,2,400,100,5
100,2,2,10,1,1,500,4,2,400,100,5
100,2,2,12,1,1,500,4,2,400,100,5
100,2,2,14,1,1,500,4,2,400,100,5
100,2,2,16,1,1,500,4,2,400,100,5
100,2,2,18,1,1,500,4,2,400,100,5
100,2,2,20,1,1,500,4,2,400,100,5
100,2,2,22,1,1,500,4,2,400,100,5
100,2,2,24,1,1,500,4,2,400,100,5
100,2,2,26,1,1,500,4,2,400,100,5
100,2,2,28,1,1,500,4,2,400,100,5
100,2,2,30,1,1,500,4,2,400,100,5
100,2,2,32,1,1,500,4,2,400,100,5
100,2,2,34,1,1,500,4,2,400,100,5
100,2,2,36,1,1,500,4,2,400,100,5
100,2,2,38,1,1,500,4,2,400,100,5
100,2,2,40,1,1,500,4,2,400,100,5
100,2,2,42,1,1,500,4,2,400,100,5
100,2,2,44,1,1,500,4,2,400,100,5
100,2,2,46,1,1,500,4,2,400,100,5
100,2,2,48,1,1,500,4,2,400,100,5
100,5,2,2,1,1,500,4,2,400,100,5
100,5,2,3,1,1,500,4,2,400,100,5
100,5,2,4,1,1,500,4,2,400,100,5
100,5,2,5,1,1,500,4,2,400,100,5
100,5,2,6,1,1,500,4,2,400,100,5
100,5,2,7,1,1,500,4,2,400,100,5
100,5,2,8,1,1,500,4,2,400,100,5
100,5,2,9,1,1,500,4,2,400,100,5
100,5,2,10,1,1,500,4,2,400,100,5
100,5,2,11,1,1,500,4,2,400,100,5
100,5,2,12,1,1,500,4,2,400,100,5
100,5,2,13,1,1,500,4,2,400,100,5
100,5,2,14,1,1,500,4,2,400,100,5
100,5,2,15,1,1,500,4,2,400,100,5
100,5,2,16,1,1,500,4,2,400,100,5
100,5,2,17,1,1,500,4,2,400,100,5
100,5,2,18,1,1,500,4,2,400,100,5
100,5,2,19,1,1,500,4,2,400,100,5
100,10,2,2,1,1,500,4,2,400,100,5
100,10,2,3,1,1,500,4,2,400,100,5
100,10,2,4,1,1,500,4,2,400,100,5
100,10,2,5,1,1,500,4,2,400,100,5
100,10,2,6,1,1,500,4,2,400,100,5
100,10,2,7,1,1,500,4,2,400,100,5
100,10,2,8,1,1,500,4,2,400,100,5
100,10,2,9,1,1,500,4,2,400,100,5
100,10,2,10,1,1,500,4,2,400,100,5
100,2,5,2,1,1,500,4,2,400,100,5
100,2,5,4,1,1,500,4,2,400,100,5
100,2,5,6,1,1,500,4,2,400,100,5
100,2,5,8,1,1,500,4,2,400,100,5
100,2,5,10,1,1,500,4,2,400,100,5
100,2,5,12,1,1,500,4,2,400,100,5
100,2,5,14,1,1,500,4,2,400,100,5
100,2,5,16,1,1,500,4,2,400,100,5
100,2,5,18,1,1,500,4,2,400,100,5
100,2,5,20,1,1,500,4,2,400,100,5
100,2,5,22,1,1,500,4,2,400,100,5
100,2,5,24,1,1,500,4,2,400,100,5
100,2,5,26,1,1,500,4,2,400,100,5
100,2,5,28,1,1,500,4,2,400,100,5
100,2,5,30,1,1,500,4,2,400,100,5
100,2,5,32,1,1,500,4,2,400,100,5
100,2,5,34,1,1,500,4,2,400,100,5
100,2,5,36,1,1,500,4,2,400,100,5
100,2,5,38,1,1,500,4,2,400,100,5
100,2,5,40,1,1,500,4,2,400,100,5
100,2,5,42,1,1,500,4,2,400,100,5
100,2,5,44,1,1,500,4,2,400,100,5
100,2,5,46,1,1,500,4,2,400,100,5
100,2,5,48,1,1,500,4,2,400,100,5
100,5,5,2,1,1,500,4,2,400,100,5
100,5,5,3,1,1,500,4,2,400,100,5
100,5,5,4,1,1,500,4,2,400,100,5
100,5,5,5,1,1,500,4,2,400,100,5
100,5,5,6,1,1,500,4,2,400,100,5
100,5,5,7,1,1,500,4,2,400,100,5
100,5,5,8,1,1,500,4,2,400,100,5
100,5,5,9,1,1,500,4,2,400,100,5
100,5,5,10,1,1,500,4,2,400,100,5
100,5,5,11,1,1,500,4,2,400,100,5
100,5,5,12,1,1,500,4,2,400,100,5
100,5,5,13,1,1,500,4,2,400,100,5
100,5,5,14,1,1,500,4,2,400,100,5
100,5,5,15,1,1,500,4,2,400,100,5
100,5,5,16,1,1,500,4,2,400,100,5
100,5,5,17,1,1,500,4,2,400,100,5
100,5,5,18,1,1,500,4,2,400,100,5
100,5,5,19,1,1,500,4,2,400,100,5
100,10,5,2,1,1,500,4,2,400,100,5
100,10,5,3,1,1,500,4,2,400,100,5
100,10,5,4,1,1,500,4,2,400,100,5
100,10,5,5,1,1,500,4,2,400,100,5
100,10,5,6,1,1,500,4,2,400,100,5
100,10,5,7,1,1,500,4,2,400,100,5
100,10,5,8,1,1,500,4,2,400,100,5
100,10,5,9,1,1,500,4,2,400,100,5
100,10,5,10,1,1,500,4,2,400,100,5
100,2,10,2,1,1,500,4,2,400,100,5
100,2,10,4,1,1,500,4,2,400,100,5
100,2,10,6,1,1,500,4,2,400,100,5
100,2,10,8,1,1,500,4,2,400,100,5
100,2,10,10,1,1,500,4,2,400,100,5
100,2,10,12,1,1,500,4,2,400,100,5
100,2,10,14,1,1,500,4,2,400,100,5
100,2,10,16,1,1,500,4,2,400,100,5
100,2,10,18,1,1,500,4,2,400,100,5
100,2,10,20,1,1,500,4,2,400,100,5
100,2,10,22,1,1,500,4,2,400,100,5
100,2,10,24,1,1,500,4,2,400,100,5
100,2,10,26,1,1,500,4,2,400,100,5
100,2,10,28,1,1,500,4,2,400,100,5
100,2,10,30,1,1,500,4,2,400,100,5
100,2,10,32,1,1,500,4,2,400,100,5
100,2,10,34,1,1,500,4,2,400,100,5
100,2,10,36,1,1,500,4,2,400,100,5
100,2,10,38,1,1,500,4,2,400,100,5
100,2,10,40,1,1,500,4,2,400,100,5
100,2,10,42,1,1,500,4,2,400,100,5
100,2,10,44,1,1,500,4,2,400,100,5
100,2,10,46,1,1,500,4,2,400,100,5
100,2,10,48,1,1,500,4,2,400,100,5
100,5,10,2,1,1,500,4,2,400,100,5
100,5,10,3,1,1,500,4,2,400,100,5
100,5,10,4,1,1,500,4,2,400,100,5
100,5,10,5,1,1,500,4,2,400,100,5
100,5,10,6,1,1,500,4,2,400,100,5
100,5,10,7,1,1,500,4,2,400,100,5
100,5,10,8,1,1,500,4,2,400,100,5
100,5,10,9,1,1,500,4,2,400,100,5
100,5,10,10,1,1,500,4,2,400,100,5
100,5,10,11,1,1,500,4,2,400,100,5
100,5,10,12,1,1,500,4,2,400,100,5
100,5,10,13,1,1,500,4,2,400,100,5
100,5,10,14,1,1,500,4,2,400,100,5
100,5,10,15,1,1,500,4,2,400,100,5
100,5,10,16,1,1,500,4,2,400,100,5
100,5,10,17,1,1,500,4,2,400,100,5
100,5,10,18,1,1,500,4,2,400,100,5
100,5,10,19,1,1,500,4,2,400,100,5
100,10,10,2,1,1,500,4,2,400,100,5
100,10,10,3,1,1,500,4,2,400,100,5
100,10,10,4,1,1,500,4,2,400,100,5
100,10,10,5,1,1,500,4,2,400,100,5
100,10,10,6,1,1,500,4,2,400,100,5
100,10,10,7,1,1,500,4,2,400,100,5
100,10,10,8,1,1,500,4,2,400,100,5
100,10,10,9,1,1,500,4,2,400,100,5
100,10,10,10,1,1,500,4,2,400,100,5
100,2,2,2,1,1,500,4,2,400,100,5
100,2,2,4,1,1,500,4,2,400,100,5
100,2,2,6,1,1,500,4,2,400,100,5
100,2,2,8,1,1,500,4,2,400,100,5
100,2,2,10,1,1,500,4,2,400,100,5
100,2,2,12,1,1,500,4,2,400,100,5
100,2,2,14,1,1,500,4,2,400,100,5
100,2,2,16,1,1,500,4,2,400,100,5
100,2,2,18,1,1,500,4,2,400,100,5
100,2,2,20,1,1,500,4,2,400,100,5
100,2,2,22,1,1,500,4,2,400,100,5
100,2,2,24,1,1,500,4,2,400,100,5
100,2,2,26,1,1,500,4,2,400,100,5
100,2,2,28,1,1,500,4,2,400,100,5
100,2,2,30,1,1,500,4,2,400,100,5
100,2,2,32,1,1,500,4,2,400,100,5
100,2,2,34,1,1,500,4,2,400,100,5
100,2,2,36,1,1,500,4,2,400,100,5
100,2,2,38,1,1,500,4,2,400,100,5
100,2,2,40,1,1,500,4,2,400,100,5
100,2,2,42,1,1,500,4,2,400,100,5
100,2,2,44,1,1,500,4,2,400,100,5
100,2,2,46,1,1,500,4,2,400,100,5
100,2,2,48,1,1,500,4,2,400,100,5
100,5,2,2,1,1,500,4,2,400,100,5
100,5,2,3,1,1,500,4,2,400,100,5
100,5,2,4,1,1,500,4,2,400,100,5
100,5,2,5,1,1,500,4,2,400,100,5
100,5,2,6,1,1,500,4,2,400,100,5
100,5,2,7,1,1,500,4,2,400,100,5
100,5,2,8,1,1,500,4,2,400,100,5
100,5,2,9,1,1,500,4,2,400,100,5
100,5,2,10,1,1,500,4,2,400,100,5
100,5,2,11,1,1,500,4,2,400,100,5
100,5,2,12,1,1,500,4,2,400,100,5
100,5,2,13,1,1,500,4,2,400,100,5
100,5,2,14,1,1,500,4,2,400,100,5
100,5,2,15,1,1,500,4,2,400,100,5
100,5,2,16,1,1,500,4,2,400,100,5
100,5,2,17,1,1,500,4,2,400,100,5
100,5,2,18,1,1,500,4,2,400,100,5
100,5,2,19,1,1,500,4,2,400,100,5
100,10,2,2,1,1,500,4,2,400,100,5
100,10,2,3,1,1,500,4,2,400,100,5
100,10,2,4,1,1,500,4,2,400,100,5
100,10,2,5,1,1,500,4,2,400,100,5
100,10,2,6,1,1,500,4,2,400,100,5
100,10,2,7,1,1,500,4,2,400,100,5
100,10,2,8,1,1,500,4,2,400,100,5
100,10,2,9,1,1,500,4,2,400,100,5
100,10,2,10,1,1,500,4,2,400,100,5
100,2,5,2,1,1,500,4,2,400,100,5
100,2,5,4,1,1,500,4,2,400,100,5
100,2,5,6,1,1,500,4,2,400,100,5
100,2,5,8,1,1,500,4,2,400,100,5
100,2,5,10,1,1,500,4,2,400,100,5
100,2,5,12,1,1,500,4,2,400,100,5
100,2,5,14,1,1,500,4,2,400,100,5
100,2,5,16,1,1,500,4,2,400,100,5
100,2,5,18,1,1,500,4,2,400,100,5
100,2,5,20,1,1,500,4,2,400,100,5
100,2,5,22,1,1,500,4,2,400,100,5
100,2,5,24,1,1,500,4,2,400,100,5
100,2,5,26,1,1,500,4,2,400,100,5
100,2,5,28,1,1,500,4,2,400,100,5
100,2,5,30,1,1,500,4,2,400,100,5
100,2,5,32,1,1,500,4,2,400,100,5
100,2,5,34,1,1,500,4,2,400,100,5
100,2,5,36,1,1,500,4,2,400,100,5
100,2,5,38,1,1,500,4,2,400,100,5
100,2,5,40,1,1,500,4,2,400,100,5
100,2,5,42,1,1,500,4,2,400,100,5
100,2,5,44,1,1,500,4,2,400,100,5
100,2,5,46,1,1,500,4,2,400,100,5
100,2,5,48,1,1,500,4,2,400,100,5
100,5,5,2,1,1,500,4,2,400,100,5
100,5,5,3,1,1,500,4,2,400,100,5
100,5,5,4,1,1,500,4,2,400,100,5
100,5,5,5,1,1,500,4,2,400,100,5
100,5,5,6,1,1,500,4,2,400,100,5
100,5,5,7,1,1,500,4,2,400,100,5
100,5,5,8,1,1,500,4,2,400,100,5
100,5,5,9,1,1,500,4,2,400,100,5
100,5,5,10,1,1,500,4,2,400,100,5
100,5,5,11,1,1,500,4,2,400,100,5
100,5,5,12,1,1,500,4,2,400,100,5
100,5,5,13,1,1,500,4,2,400,100,5
100,5,5,14,1,1,500,4,2,400,100,5
100,5,5,15,1,1,500,4,2,400,100,5
100,5,5,16,1,1,500,4,2,400,100,5
100,5,5,17,1,1,500,4,2,400,100,5
100,5,5,18,1,1,500,4,2,400,100,5
100,5,5,19,1,1,500,4,2,400,100,5
100,10,5,2,1,1,500,4,2,400,100,5
100,10,5,3,1,1,500,4,2,400,100,5
100,10,5,4,1,1,500,4,2,400,100,5
100,10,5,5,1,1,500,4,2,400,100,5
100,10,5,6,1,1,500,4,2,400,100,5
100,10,5,7,1,1,500,4,2,400,100,5
100,10,5,8,1,1,500,4,2,400,100,5
100,10,5,9,1,1,500,4,2,400,100,5
100,10,5,10,1,1,500,4,2,400,100,5
100,2,10,2,1,1,500,4,2,400,100,5
100,2,10,4,1,1,500,4,2,400,100,5
100,2,10,6,1,1,500,4,2,400,100,5
100,2,10,8,1,1,500,4,2,400,100,5
100,2,10,10,1,1,500,4,2,400,100,5
100,2,10,12,1,1,500,4,2,400,100,5
100,2,10,14,1,1,500,4,2,400,100,5
100,2,10,16,1,1,500,4,2,400,100,5
100,2,10,18,1,1,500,4,2,400,100,5
100,2,10,20,1,1,500,4,2,400,100,5
100,2,10,22,1,1,500,4,2,400,100,5
100,2,10,24,1,1,500,4,2,400,100,5
100,2,10,26,1,1,500,4,2,400,100,5
100,2,10,28,1,1,500,4,2,400,100,5
100,2,10,30,1,1,500,4,2,400,100,5
100,2,10,32,1,1,500,4,2,400,100,5
