d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, n1, n2
50,2,5,26,500,4,2,400,100,5,5,2
80,2,5,2,500,4,2,400,100,5,5,2
80,2,5,4,500,4,2,400,100,5,5,2
80,2,5,6,500,4,2,400,100,5,5,2
80,2,5,8,500,4,2,400,100,5,5,2
80,2,5,10,500,4,2,400,100,5,5,2
80,2,5,12,500,4,2,400,100,5,5,2
80,2,5,14,500,4,2,400,100,5,5,2
80,2,5,16,500,4,2,400,100,5,5,2
80,2,5,18,500,4,2,400,100,5,5,2
80,2,5,20,500,4,2,400,100,5,5,2
80,2,5,22,500,4,2,400,100,5,5,2
80,2,5,24,500,4,2,400,100,5,5,2
80,2,5,26,500,4,2,400,100,5,5,2
80,2,5,28,500,4,2,400,100,5,5,2
80,2,5,30,500,4,2,400,100,5,5,2
80,2,5,32,500,4,2,400,100,5,5,2
80,2,5,34,500,4,2,400,100,5,5,2
80,2,5,36,500,4,2,400,100,5,5,2
80,2,5,38,500,4,2,400,100,5,5,2
80,2,5,40,500,4,2,400,100,5,5,2
20,2,5,2,500,4,2,400,100,5,5,2
20,2,5,4,500,4,2,400,100,5,5,2
20,2,5,6,500,4,2,400,100,5,5,2
20,2,5,8,500,4,2,400,100,5,5,2
20,2,5,10,500,4,2,400,100,5,5,2
50,2,5,2,500,4,2,400,100,5,5,2
50,2,5,4,500,4,2,400,100,5,5,2
50,2,5,6,500,4,2,400,100,5,5,2
50,2,5,8,500,4,2,400,100,5,5,2
50,2,5,10,500,4,2,400,100,5,5,2
50,2,5,12,500,4,2,400,100,5,5,2
50,2,5,14,500,4,2,400,100,5,5,2
50,2,5,16,500,4,2,400,100,5,5,2
50,2,5,18,500,4,2,400,100,5,5,2
50,2,5,20,500,4,2,400,100,5,5,2
50,2,5,22,500,4,2,400,100,5,5,2
50,2,5,24,500,4,2,400,100,5,5,2
50,2,5,26,500,4,2,400,100,5,5,2
80,2,5,2,500,4,2,400,100,5,5,2
80,2,5,4,500,4,2,400,100,5,5,2
80,2,5,6,500,4,2,400,100,5,5,2
80,2,5,8,500,4,2,400,100,5,5,2
80,2,5,10,500,4,2,400,100,5,5,2
80,2,5,12,500,4,2,400,100,5,5,2
80,2,5,14,500,4,2,400,100,5,5,2
80,2,5,16,500,4,2,400,100,5,5,2
80,2,5,18,500,4,2,400,100,5,5,2
80,2,5,20,500,4,2,400,100,5,5,2
80,2,5,22,500,4,2,400,100,5,5,2
80,2,5,24,500,4,2,400,100,5,5,2
80,2,5,26,500,4,2,400,100,5,5,2
80,2,5,28,500,4,2,400,100,5,5,2
80,2,5,30,500,4,2,400,100,5,5,2
80,2,5,32,500,4,2,400,100,5,5,2
80,2,5,34,500,4,2,400,100,5,5,2
80,2,5,36,500,4,2,400,100,5,5,2
80,2,5,38,500,4,2,400,100,5,5,2
80,2,5,40,500,4,2,400,100,5,5,2
